Kayaking,18885
Rowing,27370
PizzaTossing,9748
Basketball,13677
SoccerJuggling,31782
PlayingViolin,11742
PullUps,6750
HorseRace,12568
HeadMassage,20339
BenchPress,11258
YoYo,15883
BreastStroke,12305
SalsaSpin,21834
Fencing,8326
BalanceBeam,7982
CricketShot,9953
PommelHorse,27402
PlayingFlute,18804
RockClimbingIndoor,37209
FrisbeeCatch,5199
HandStandPushups,7990
PlayingGuitar,28185
BandMarching,17264
TennisSwing,18100
MilitaryParade,9766
TaiChi,10096
Swing,15067
JumpingJack,7046
PlayingCello,23716
StillRings,12390
Knitting,21103
WalkingWithDog,21287
BoxingPunchingBag,22407
BlowDryHair,19143
HighJump,7771
SkyDiving,14705
HandstandWalking,11376
VolleyballSpiking,8417
BlowingCandles,8221
JumpRope,44457
Skiing,16926
TrampolineJumping,16256
RopeClimbing,12918
PlayingDaf,30213
ParallelBars,9415
WritingOnBoard,14279
PlayingDhol,39176
ApplyLipstick,11845
MoppingFloor,16931
HammerThrow,16878
IceDancing,18625
Lunges,18742
Billiards,19407
SumoWrestling,14770
Rafting,13803
SoccerPenalty,6008
ApplyEyeMakeup,15992
UnevenBars,8629
BrushingTeeth,22158
FieldHockeyPenalty,8859
PlayingSitar,41730
Hammering,11763
BasketballDunk,4031
ThrowDiscus,8138
Shotput,8025
TableTennisShot,15568
BoxingSpeedBag,27757
CleanAndJerk,13635
GolfSwing,15965
Skijet,14492
JavelinThrow,6605
BaseballPitch,10040
LongJump,8484
Typing,19633
Bowling,11493
HulaHoop,9687
WallPushups,5681
FloorGymnastics,10898
BodyWeightSquats,6894
PlayingPiano,13276
JugglingBalls,24758
Surfing,10520
CuttingInKitchen,13902
CricketBowling,9393
Diving,17887
Archery,13050
BabyCrawling,14787
Nunchucks,21750
CliffDiving,6372
Haircut,14525
PlayingTabla,22964
Biking,22980
HorseRiding,20342
PoleVault,11342
Mixing,10995
SkateBoarding,11965
PushUps,3737
FrontCrawl,14859
Drumming,35146
Punch,29781
ShavingBeard,21024
