Kayaking,21554
Rowing,31067
PizzaTossing,10991
Basketball,14337
SoccerJuggling,34663
PlayingViolin,13327
PullUps,7856
HorseRace,15416
HeadMassage,22236
BenchPress,12742
YoYo,18429
BreastStroke,14026
SalsaSpin,23533
Fencing,9842
BalanceBeam,9395
CricketShot,11492
PommelHorse,31597
PlayingFlute,23538
RockClimbingIndoor,42399
FrisbeeCatch,6304
HandStandPushups,9140
PlayingGuitar,31201
BandMarching,20638
TennisSwing,20064
MilitaryParade,11338
TaiChi,11911
Swing,16741
JumpingJack,7944
PlayingCello,26875
StillRings,14674
Knitting,22820
WalkingWithDog,22959
BoxingPunchingBag,24767
BlowDryHair,22364
HighJump,9007
SkyDiving,16688
HandstandWalking,13161
VolleyballSpiking,9281
BlowingCandles,9227
JumpRope,49226
Skiing,19679
TrampolineJumping,18136
RopeClimbing,15134
PlayingDaf,34096
ParallelBars,11386
WritingOnBoard,16190
PlayingDhol,41917
ApplyLipstick,13433
MoppingFloor,18487
HammerThrow,19371
IceDancing,22684
Lunges,21457
Billiards,25177
SumoWrestling,16969
Rafting,16070
SoccerPenalty,7781
ApplyEyeMakeup,17759
UnevenBars,10649
BrushingTeeth,25014
FieldHockeyPenalty,10286
PlayingSitar,45820
Hammering,13335
BasketballDunk,5222
ThrowDiscus,9393
Shotput,9448
TableTennisShot,18234
BoxingSpeedBag,29276
CleanAndJerk,15029
GolfSwing,17485
Skijet,15844
JavelinThrow,7737
BaseballPitch,11121
LongJump,9915
Typing,21523
Bowling,13973
HulaHoop,10624
WallPushups,7129
FloorGymnastics,12798
BodyWeightSquats,8328
PlayingPiano,15695
JugglingBalls,26591
Surfing,13163
CuttingInKitchen,15326
CricketBowling,10651
Diving,20138
Archery,15419
BabyCrawling,16791
Nunchucks,24349
CliffDiving,7838
Haircut,16507
PlayingTabla,25447
Biking,24091
HorseRiding,22406
PoleVault,14178
Mixing,12387
SkateBoarding,13289
PushUps,4464
FrontCrawl,17297
Drumming,38683
Punch,33647
ShavingBeard,24923
